"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0038023","signaling receptor activity",748,57,16.44,"7.1e-17"
"2","GO:0060089","molecular transducer activity",748,57,16.44,"7.1e-17"
"3","GO:0005201","extracellular matrix structural constituent",425,39,9.34,"2.8e-14"
"4","GO:0004888","transmembrane signaling receptor activity",608,47,13.36,"3.3e-14"
"5","GO:0030020","extracellular matrix structural constituent conferring tensile strength",26,12,0.57,"7.5e-14"
"6","GO:0005509","calcium ion binding",1254,65,27.56,"3.2e-11"
"7","GO:0005198","structural molecule activity",840,47,18.46,"2.6e-09"
"8","GO:1901681","sulfur compound binding",369,29,8.11,"2.7e-09"
"9","GO:0005125","cytokine activity",40,10,0.88,"1.1e-08"
"10","GO:0005102","signaling receptor binding",1234,58,27.12,"1.8e-08"
"11","GO:0004930","G protein-coupled receptor activity",230,20,5.06,"1.7e-07"
"12","GO:0009374","biotin binding",45,9,0.99,"4.7e-07"
"13","GO:0004089","carbonate dehydratase activity",10,5,0.22,"1.1e-06"
"14","GO:0005178","integrin binding",382,24,8.4,"3.9e-06"
"15","GO:0048018","receptor ligand activity",214,17,4.7,"5.1e-06"
"16","GO:0033293","monocarboxylic acid binding",75,10,1.65,"5.3e-06"
"17","GO:0050839","cell adhesion molecule binding",589,31,12.95,"6.0e-06"
"18","GO:0005539","glycosaminoglycan binding",314,21,6.9,"6.1e-06"
"19","GO:0030546","signaling receptor activator activity",221,17,4.86,"7.8e-06"
"20","GO:0030414","peptidase inhibitor activity",79,10,1.74,"8.5e-06"
"21","GO:0030545","signaling receptor regulator activity",228,17,5.01,"1.2e-05"
"22","GO:0038024","cargo receptor activity",82,10,1.8,"1.2e-05"
"23","GO:0008201","heparin binding",235,17,5.17,"1.7e-05"
"24","GO:0005518","collagen binding",129,12,2.84,"2.7e-05"
"25","GO:0005109","frizzled binding",59,8,1.3,"4.1e-05"
"26","GO:0005044","scavenger receptor activity",47,7,1.03,"6.8e-05"
"27","GO:0004714","transmembrane receptor protein tyrosine kinase activity",142,12,3.12,"6.9e-05"
"28","GO:0019838","growth factor binding",144,12,3.17,"7.9e-05"
"29","GO:0019199","transmembrane receptor protein kinase activity",173,13,3.8,"0.00012"
"30","GO:0015026","coreceptor activity",13,4,0.29,"0.00014"
"31","GO:0031406","carboxylic acid binding",227,15,4.99,"0.00015"
"32","GO:0005537","mannose binding",38,6,0.84,"0.00016"
