"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0030198","extracellular matrix organization",384,40,8.41,"1.3e-16"
"2","GO:0043062","extracellular structure organization",389,40,8.52,"2.0e-16"
"3","GO:0007155","cell adhesion",1506,83,32.97,"3.2e-16"
"4","GO:0045229","external encapsulating structure organization",456,42,9.98,"1.7e-15"
"5","GO:0009653","anatomical structure morphogenesis",2534,111,55.47,"8.2e-15"
"6","GO:0048731","system development",3242,129,70.97,"2.4e-14"
"7","GO:0007166","cell surface receptor signaling pathway",2277,102,49.85,"4.8e-14"
"8","GO:0009888","tissue development",1743,86,38.16,"5.7e-14"
"9","GO:0048729","tissue morphogenesis",665,47,14.56,"6.7e-13"
"10","GO:0030154","cell differentiation",3079,120,67.41,"2.0e-12"
"11","GO:0048869","cellular developmental process",3084,120,67.52,"2.2e-12"
"12","GO:0048513","animal organ development",2203,96,48.23,"2.2e-12"
"13","GO:0007275","multicellular organism development",3769,137,82.51,"3.1e-12"
"14","GO:0048856","anatomical structure development",4437,153,97.13,"3.4e-12"
"15","GO:0098609","cell-cell adhesion",859,53,18.81,"3.9e-12"
"16","GO:0009887","animal organ morphogenesis",1066,59,23.34,"1.7e-11"
"17","GO:0032502","developmental process",4666,156,102.15,"2.4e-11"
"18","GO:0048598","embryonic morphogenesis",659,44,14.43,"2.7e-11"
"19","GO:0022008","neurogenesis",1589,75,34.79,"3.8e-11"
"20","GO:0007369","gastrulation",169,21,3.7,"1.2e-10"
"21","GO:0032501","multicellular organismal process",4909,158,107.47,"4.1e-10"
"22","GO:0048699","generation of neurons",1415,67,30.98,"5.3e-10"
"23","GO:0002009","morphogenesis of an epithelium",564,38,12.35,"5.6e-10"
"24","GO:0048468","cell development",2233,90,48.88,"1.1e-09"
"25","GO:0007399","nervous system development",2028,84,44.4,"1.4e-09"
"26","GO:0001704","formation of primary germ layer",108,16,2.36,"1.5e-09"
"27","GO:0045165","cell fate commitment",237,23,5.19,"2.2e-09"
"28","GO:0050808","synapse organization",511,34,11.19,"6.8e-09"
"29","GO:0060429","epithelium development",1001,51,21.91,"9.1e-09"
"30","GO:0061564","axon development",598,37,13.09,"9.8e-09"
"31","GO:0031589","cell-substrate adhesion",583,36,12.76,"1.7e-08"
"32","GO:0030182","neuron differentiation",1346,61,29.47,"2.1e-08"
"33","GO:0072359","circulatory system development",1121,54,24.54,"2.1e-08"
